日期,行业名称,电量_万千瓦时
2024-01-01,      其中：排灌,128.6457
2024-01-01,    1.农业,358.8728
2024-01-01,    2.林业,6.6828
2024-01-01,    3.畜牧业,341.6419
2024-01-01,    4.渔业,83.2212
2024-01-01,    5.农、林、牧、渔专业及辅助性活动,340.1574
2024-01-01,    乡村居民,6352.8401
2024-01-01,    城镇居民,9263.8543
2024-01-01,    第一产业,790.4187
2024-01-01,    第三产业,15177.345
2024-01-01,    第二产业,27093.3956
2024-01-01,  其中：中成药生产,18.9077
2024-01-01,  其中：互联网数据服务,102.3876
2024-01-01,  其中：体育用品制造,2.2299
2024-01-01,  其中：充换电服务业,725.5012
2024-01-01,  其中：光伏设备及元器件制造,15.2875
2024-01-01,  其中：公共照明,564.6938
2024-01-01,  其中：医疗仪器设备及器械制造,9.0075
2024-01-01,  其中：地质勘查,2.5423
2024-01-01,  其中：城市公共交通运输,339.1058
2024-01-01,  其中：教育,1065.0351
2024-01-01,  其中：新能源车整车制造,11.1559
2024-01-01,  其中：橡胶制品业,101.8413
2024-01-01,  其中：氯碱,158.848
2024-01-01,  其中：水利管理业,82.7135
2024-01-01,  其中：水泥制造,1118.8759
2024-01-01,  其中：港口岸电,5.0105
2024-01-01,  其中：煤化工,225.2784
2024-01-01,  其中：电厂生产全部耗用电量,156.6982
2024-01-01,  其中：电气化铁路,1316.5197
2024-01-01,  其中：碳化硅,2.976
2024-01-01,  其中：科技推广和应用服务业,32.971
2024-01-01,  其中：租赁业,7.8421
2024-01-01,  其中：结构性金属制品制造,268.3656
2024-01-01,  其中：肥料制造,2301.9855
2024-01-01,  其中：计算机制造,6.5167
2024-01-01,  其中：钢铁,3308.4059
2024-01-01,  其中：铁路运输设备制造,15.406
2024-01-01,  其中：铝冶炼,2.9283
2024-01-01,  其中：风能原动设备制造,0.0042
2024-01-01,  城市轨道交通设备制造,3.146
2024-01-01,  塑料制品业,397.1712
2024-01-01,  抽水蓄能抽水耗用电量,838.5062
2024-01-01,  玻璃制造,151.4311
2024-01-01,  生物药品制品制造,86.6543
2024-01-01,  电石,0.0
2024-01-01,  稀有稀土金属冶炼,4.308
2024-01-01,  线路损失电量,0.0386
2024-01-01,  航空、航天器及设备制造,13.4333
2024-01-01,  通信设备制造,78.9385
2024-01-01,  铁合金冶炼,16.3518
2024-01-01,  铅锌冶炼,0.102
2024-01-01,  陶瓷制品制造,106.0965
2024-01-01,  黄磷,67.2945
2024-01-01,1.农副食品加工业,501.0388
2024-01-01,1.房屋建筑业,333.3522
2024-01-01,1.煤炭开采和洗选业,5.6833
2024-01-01,1.电信、广播电视和卫星传输服务,442.3909
2024-01-01,1.电力、热力生产和供应业,1200.5584
2024-01-01,1.科学研究和技术服务业,207.1719
2024-01-01,1.铁路运输业,1412.0095
2024-01-01,10.造纸和纸制品业,631.7113
2024-01-01,11.印刷和记录媒介复制业,67.7083
2024-01-01,12.文教、工美、体育和娱乐用品制造业,32.4571
2024-01-01,13.石油、煤炭及其他燃料加工业,770.9597
2024-01-01,14.化学原料和化学制品制造业,4547.5098
2024-01-01,15.医药制造业,464.9976
2024-01-01,16.化学纤维制造业,71.8073
2024-01-01,17.橡胶和塑料制品业,499.0126
2024-01-01,18.非金属矿物制品业,3125.8258
2024-01-01,19.黑色金属冶炼和压延加工业,3324.7577
2024-01-01,2.互联网和相关服务,378.8317
2024-01-01,2.土木工程建筑业,306.6249
2024-01-01,2.水利、环境和公共设施管理业,831.705
2024-01-01,2.燃气生产和供应业,305.9973
2024-01-01,2.石油和天然气开采业,148.1469
2024-01-01,2.道路运输业,491.5864
2024-01-01,2.食品制造业,292.6108
2024-01-01,20.有色金属冶炼和压延加工业,481.3068
2024-01-01,21.金属制品业,948.3046
2024-01-01,22.通用设备制造业,254.1426
2024-01-01,23.专用设备制造业,136.2527
2024-01-01,24.汽车制造业,480.1756
2024-01-01,25.铁路、船舶、航空航天和其他运输设备制造业,93.6464
2024-01-01,26.电气机械和器材制造业,923.9966
2024-01-01,27.计算机、通信和其他电子设备制造业,2561.1154
2024-01-01,28.仪器仪表制造业,17.8202
2024-01-01,29.其他制造业,361.0958
2024-01-01,3.居民服务、修理和其他服务业,200.0405
2024-01-01,3.建筑安装业,55.8726
2024-01-01,3.水上运输业,16.0897
2024-01-01,3.水的生产和供应业,879.5491
2024-01-01,3.软件和信息技术服务业,205.7002
2024-01-01,3.酒、饮料及精制茶制造业,140.7438
2024-01-01,3.黑色金属矿采选业,172.8113
2024-01-01,30.废弃资源综合利用业,227.9715
2024-01-01,31.金属制品、机械和设备修理业,55.2704
2024-01-01,4.建筑装饰、装修和其他建筑业,336.3093
2024-01-01,4.教育、文化、体育和娱乐业,1236.541
2024-01-01,4.有色金属矿采选业,128.6553
2024-01-01,4.烟草制品业,48.6898
2024-01-01,4.航空运输业,71.8956
2024-01-01,5.卫生和社会工作,835.434
2024-01-01,5.管道运输业,41.1401
2024-01-01,5.纺织业,1272.5943
2024-01-01,5.非金属矿采选业  ,244.7177
2024-01-01,6.公共管理和社会组织、国际组织,618.0224
2024-01-01,6.其他采矿业  ,133.4529
2024-01-01,6.多式联运和运输代理业,35.041
2024-01-01,6.纺织服装、服饰业,163.6584
2024-01-01,7.皮革、毛皮、羽毛及其制品和制鞋业,25.4611
2024-01-01,7.装卸搬运和仓储业,213.0554
2024-01-01,8.木材加工和木、竹、藤、棕、草制品业,322.1496
2024-01-01,8.邮政业,32.8389
2024-01-01,9.家具制造业,70.9559
2024-01-01,A、全行业用电合计,43061.1594
2024-01-01,B、城乡居民生活用电合计,15616.6944
2024-01-01,一、农、林、牧、渔业,1130.5762
2024-01-01,七、住宿和餐饮业,1131.5811
2024-01-01,三、建筑业,1032.1589
2024-01-01,九、房地产业,2370.7921
2024-01-01,二、工业,26135.3204
2024-01-01,五、信息传输、软件和信息技术服务业,1026.9227
2024-01-01,全行业用电分类,43061.1594
2024-01-01,八、金融业,242.3199
2024-01-01,六、批发和零售业,3501.9362
2024-01-01,其他开采专业及辅助性活动,18.8133
2024-01-01,十、租赁和商务服务业,246.9805
2024-01-01,十一、公共服务及管理组织,3928.9148
2024-01-01,四、交通运输、仓储和邮政业,2313.6565
2024-01-01,客户用电量,58677.8538
2024-01-01,（一）采矿业,833.4674
2024-01-01,（三）电力、热力、燃气及水的生产和供应业,2386.1048
2024-01-01,（二） 制造业,22915.7482
2024-01-02,      其中：排灌,116.2715
2024-01-02,    1.农业,346.8242
2024-01-02,    2.林业,7.6095
2024-01-02,    3.畜牧业,340.3994
2024-01-02,    4.渔业,75.4359
2024-01-02,    5.农、林、牧、渔专业及辅助性活动,329.8576
2024-01-02,    乡村居民,6142.5973
2024-01-02,    城镇居民,9660.6236
2024-01-02,    第一产业,770.269
2024-01-02,    第三产业,17645.7586
2024-01-02,    第二产业,31671.7368
2024-01-02,  其中：中成药生产,41.7873
2024-01-02,  其中：互联网数据服务,105.3924
2024-01-02,  其中：体育用品制造,7.8541
2024-01-02,  其中：充换电服务业,730.5142
2024-01-02,  其中：光伏设备及元器件制造,18.675
2024-01-02,  其中：公共照明,685.9428
2024-01-02,  其中：医疗仪器设备及器械制造,25.5383
2024-01-02,  其中：地质勘查,5.6516
2024-01-02,  其中：城市公共交通运输,373.627
2024-01-02,  其中：教育,1958.333
2024-01-02,  其中：新能源车整车制造,23.5387
2024-01-02,  其中：橡胶制品业,182.0038
2024-01-02,  其中：氯碱,166.228
2024-01-02,  其中：水利管理业,100.0302
2024-01-02,  其中：水泥制造,1108.2119
2024-01-02,  其中：港口岸电,4.0107
2024-01-02,  其中：煤化工,227.0916
2024-01-02,  其中：电厂生产全部耗用电量,187.9927
2024-01-02,  其中：电气化铁路,1211.0134
2024-01-02,  其中：碳化硅,2.6254
2024-01-02,  其中：科技推广和应用服务业,62.7232
2024-01-02,  其中：租赁业,10.3904
2024-01-02,  其中：结构性金属制品制造,468.4193
2024-01-02,  其中：肥料制造,2343.5692
2024-01-02,  其中：计算机制造,16.7984
2024-01-02,  其中：钢铁,3081.1069
2024-01-02,  其中：铁路运输设备制造,20.3593
2024-01-02,  其中：铝冶炼,3.0158
2024-01-02,  其中：风能原动设备制造,0.0489
2024-01-02,  城市轨道交通设备制造,7.5916
2024-01-02,  塑料制品业,607.4525
2024-01-02,  抽水蓄能抽水耗用电量,636.9473
2024-01-02,  玻璃制造,177.9384
2024-01-02,  生物药品制品制造,106.1518
2024-01-02,  电石,0.0
2024-01-02,  稀有稀土金属冶炼,4.8585
2024-01-02,  线路损失电量,0.1076
2024-01-02,  航空、航天器及设备制造,41.9964
2024-01-02,  通信设备制造,104.7523
2024-01-02,  铁合金冶炼,16.8434
2024-01-02,  铅锌冶炼,0.126
2024-01-02,  陶瓷制品制造,114.547
2024-01-02,  黄磷,72.156
2024-01-02,1.农副食品加工业,647.313
2024-01-02,1.房屋建筑业,383.2226
2024-01-02,1.煤炭开采和洗选业,5.8662
2024-01-02,1.电信、广播电视和卫星传输服务,456.0124
2024-01-02,1.电力、热力生产和供应业,1077.0217
2024-01-02,1.科学研究和技术服务业,354.4557
2024-01-02,1.铁路运输业,1316.8614
2024-01-02,10.造纸和纸制品业,708.6477
2024-01-02,11.印刷和记录媒介复制业,122.7461
2024-01-02,12.文教、工美、体育和娱乐用品制造业,82.8176
2024-01-02,13.石油、煤炭及其他燃料加工业,785.2803
2024-01-02,14.化学原料和化学制品制造业,4737.935
2024-01-02,15.医药制造业,628.9879
2024-01-02,16.化学纤维制造业,79.8412
2024-01-02,17.橡胶和塑料制品业,789.4563
2024-01-02,18.非金属矿物制品业,3357.4971
2024-01-02,19.黑色金属冶炼和压延加工业,3097.9503
2024-01-02,2.互联网和相关服务,384.0313
2024-01-02,2.土木工程建筑业,318.4234
2024-01-02,2.水利、环境和公共设施管理业,997.8907
2024-01-02,2.燃气生产和供应业,310.9142
2024-01-02,2.石油和天然气开采业,187.8854
2024-01-02,2.道路运输业,542.0576
2024-01-02,2.食品制造业,386.8158
2024-01-02,20.有色金属冶炼和压延加工业,511.1082
2024-01-02,21.金属制品业,1392.0791
2024-01-02,22.通用设备制造业,540.8298
2024-01-02,23.专用设备制造业,257.3967
2024-01-02,24.汽车制造业,1237.4579
2024-01-02,25.铁路、船舶、航空航天和其他运输设备制造业,211.244
2024-01-02,26.电气机械和器材制造业,1328.4095
2024-01-02,27.计算机、通信和其他电子设备制造业,3060.1557
2024-01-02,28.仪器仪表制造业,47.6124
2024-01-02,29.其他制造业,564.9347
2024-01-02,3.居民服务、修理和其他服务业,246.3441
2024-01-02,3.建筑安装业,66.2763
2024-01-02,3.水上运输业,17.6182
2024-01-02,3.水的生产和供应业,904.8619
2024-01-02,3.软件和信息技术服务业,236.0438
2024-01-02,3.酒、饮料及精制茶制造业,197.309
2024-01-02,3.黑色金属矿采选业,177.6952
2024-01-02,30.废弃资源综合利用业,237.7848
2024-01-02,31.金属制品、机械和设备修理业,120.8916
2024-01-02,4.建筑装饰、装修和其他建筑业,375.0242
2024-01-02,4.教育、文化、体育和娱乐业,2155.3991
2024-01-02,4.有色金属矿采选业,120.1935
2024-01-02,4.烟草制品业,68.1805
2024-01-02,4.航空运输业,78.5494
2024-01-02,5.卫生和社会工作,968.1086
2024-01-02,5.管道运输业,41.1564
2024-01-02,5.纺织业,1425.1857
2024-01-02,5.非金属矿采选业  ,252.5989
